,source,flaw_line_indices,flaw_lines
296,"void f2fs_wait_discard_bios(struct f2fs_sb_info *sbi)
{
__issue_discard_cmd(sbi, false);
__drop_discard_cmd(sbi);
	__wait_discard_cmd(sbi, false);
}
",[4],"	__wait_discard_cmd(sbi, false);"
297,"static void sgi_timer_get(struct k_itimer *timr, struct itimerspec *cur_setting)
{

if (timr->it.mmtimer.clock == TIMER_OFF) {
cur_setting->it_interval.tv_nsec = 0;
cur_setting->it_interval.tv_sec = 0;
cur_setting->it_value.tv_nsec = 0;
cur_setting->it_value.tv_sec =0;
return;
}

	ns_to_timespec(cur_setting->it_interval, timr->it.mmtimer.incr * sgi_clock_period);
	ns_to_timespec(cur_setting->it_value, (timr->it.mmtimer.expires - rtc_time())* sgi_clock_period);
	return;
}
","[7, 9, 10, 11]","	ns_to_timespec(cur_setting->it_interval, timr->it.mmtimer.incr * sgi_clock_period);/~/	ns_to_timespec(cur_setting->it_value, (timr->it.mmtimer.expires - rtc_time())* sgi_clock_period);/~/	return;"
298,"vhost_scsi_send_evt(struct vhost_scsi *vs,
struct vhost_scsi_tpg *tpg,
struct se_lun *lun,
u32 event,
u32 reason)
{
struct vhost_scsi_evt *evt;

evt = vhost_scsi_allocate_evt(vs, event, reason);
if (!evt)
return;

if (tpg && lun) {
/* TODO: share lun setup code with virtio-scsi.ko */
/*
* Note: evt->event is zeroed when we allocate it and
* lun[4-7] need to be zero according to virtio-scsi spec.
*/
evt->event.lun[0] = 0x01;
		evt->event.lun[1] = tpg->tport_tpgt & 0xFF;
if (lun->unpacked_lun >= 256)
evt->event.lun[2] = lun->unpacked_lun >> 8 | 0x40 ;
evt->event.lun[3] = lun->unpacked_lun & 0xFF;
}

llist_add(&evt->list, &vs->vs_event_list);
vhost_work_queue(&vs->dev, &vs->vs_event_work);
}
",[17],		evt->event.lun[1] = tpg->tport_tpgt & 0xFF;
299,"static int udp_v6_push_pending_frames(struct sock *sk)
{
struct sk_buff *skb;
struct udphdr *uh;
struct udp_sock  *up = udp_sk(sk);
struct inet_sock *inet = inet_sk(sk);
	struct flowi6 *fl6 = &inet->cork.fl.u.ip6;
int err = 0;
int is_udplite = IS_UDPLITE(sk);
__wsum csum = 0;

/* Grab the skbuff where UDP header space exists. */
if ((skb = skb_peek(&sk->sk_write_queue)) == NULL)
goto out;

/*
* Create a UDP header
*/
uh = udp_hdr(skb);
uh->source = fl6->fl6_sport;
uh->dest = fl6->fl6_dport;
uh->len = htons(up->len);
uh->check = 0;

if (is_udplite)
csum = udplite_csum_outgoing(sk, skb);
else if (skb->ip_summed == CHECKSUM_PARTIAL) { /* UDP hardware csum */
udp6_hwcsum_outgoing(sk, skb, &fl6->saddr, &fl6->daddr,
up->len);
goto send;
} else
csum = udp_csum_outgoing(sk, skb);

/* add protocol-dependent pseudo-header */
uh->check = csum_ipv6_magic(&fl6->saddr, &fl6->daddr,
up->len, fl6->flowi6_proto, csum);
if (uh->check == 0)
uh->check = CSUM_MANGLED_0;

send:
err = ip6_push_pending_frames(sk);
if (err) {
if (err == -ENOBUFS && !inet6_sk(sk)->recverr) {
UDP6_INC_STATS_USER(sock_net(sk),
UDP_MIB_SNDBUFERRORS, is_udplite);
err = 0;
}
} else
UDP6_INC_STATS_USER(sock_net(sk),
UDP_MIB_OUTDATAGRAMS, is_udplite);
out:
up->len = 0;
up->pending = 0;
return err;
}
",[6],	struct flowi6 *fl6 = &inet->cork.fl.u.ip6;
300,"rx_cache_insert(netdissect_options *ndo,
const u_char *bp, const struct ip *ip, int dport)
{
struct rx_cache_entry *rxent;
const struct rx_header *rxh = (const struct rx_header *) bp;

if (ndo->ndo_snapend - bp + 1 <= (int)(sizeof(struct rx_header) + sizeof(int32_t)))
return;

rxent = &rx_cache[rx_cache_next];

if (++rx_cache_next >= RX_CACHE_SIZE)
rx_cache_next = 0;

rxent->callnum = EXTRACT_32BITS(&rxh->callNumber);
UNALIGNED_MEMCPY(&rxent->client, &ip->ip_src, sizeof(uint32_t));
UNALIGNED_MEMCPY(&rxent->server, &ip->ip_dst, sizeof(uint32_t));
rxent->dport = dport;
	rxent->serviceId = EXTRACT_32BITS(&rxh->serviceId);
rxent->opcode = EXTRACT_32BITS(bp + sizeof(struct rx_header));
}
",[14],	rxent->serviceId = EXTRACT_32BITS(&rxh->serviceId);
301,"static irqreturn_t armv7pmu_handle_irq(int irq_num, void *dev)
{
unsigned long pmnc;
struct perf_sample_data data;
struct cpu_hw_events *cpuc;
struct pt_regs *regs;
int idx;

/*
* Get and reset the IRQ flags
*/
pmnc = armv7_pmnc_getreset_flags();

/*
* Did an overflow occur?
*/
if (!armv7_pmnc_has_overflowed(pmnc))
return IRQ_NONE;

/*
* Handle the counter(s) overflow(s)
*/
regs = get_irq_regs();

perf_sample_data_init(&data, 0);

cpuc = &__get_cpu_var(cpu_hw_events);
for (idx = 0; idx <= armpmu->num_events; ++idx) {
struct perf_event *event = cpuc->events[idx];
struct hw_perf_event *hwc;

if (!test_bit(idx, cpuc->active_mask))
continue;

/*
* We have a single interrupt for all counters. Check that
* each counter has overflowed before we process it.
*/
if (!armv7_pmnc_counter_has_overflowed(pmnc, idx))
continue;

hwc = &event->hw;
armpmu_event_update(event, hwc, idx, 1);
data.period = event->hw.last_period;
if (!armpmu_event_set_period(event, hwc, idx))
continue;

		if (perf_event_overflow(event, 0, &data, regs))
armpmu->disable(hwc, idx);
}

/*
* Handle the pending perf events.
*
* Note: this call *must* be run with interrupts disabled. For
* platforms that can have the PMU interrupts raised as an NMI, this
* will not work.
*/
irq_work_run();

return IRQ_HANDLED;
}
",[38],"		if (perf_event_overflow(event, 0, &data, regs))"
302,"dissect_spoolss_keybuffer(tvbuff_t *tvb, int offset, packet_info *pinfo,
proto_tree *tree, dcerpc_info *di, guint8 *drep)
{
guint32 size;
int end_offset;

if (di->conformant_run)
return offset;

/* Dissect size and data */

offset = dissect_ndr_uint32(tvb, offset, pinfo, tree, di, drep,
hf_keybuffer_size, &size);

end_offset = offset + (size*2);
if (end_offset < offset) {
/*
* Overflow - make the end offset one past the end of
* the packet data, so we throw an exception (as the
* size is almost certainly too big).
*/
end_offset = tvb_reported_length_remaining(tvb, offset) + 1;
}

	while (offset < end_offset)
offset = dissect_spoolss_uint16uni(
tvb, offset, pinfo, tree, drep, NULL, hf_keybuffer);

return offset;
}
",[19],	while (offset < end_offset)
303,"void SyncManager::SyncInternal::OnIPAddressChangedImpl() {
DCHECK(thread_checker_.CalledOnValidThread());
  // TODO(akalin): CheckServerReachable() can block, which may cause
  // jank if we try to shut down sync.  Fix this.
  connection_manager()->CheckServerReachable();
}
","[2, 3, 4]","  // TODO(akalin): CheckServerReachable() can block, which may cause/~/  // jank if we try to shut down sync.  Fix this./~/  connection_manager()->CheckServerReachable();"
304,"static int burl_normalize_2F_to_slash_fix (buffer *b, int qs, int i)
{
char * const s = b->ptr;
const int blen = (int)buffer_string_length(b);
const int used = qs < 0 ? blen : qs;
int j = i;
for (; i < used; ++i, ++j) {
s[j] = s[i];
if (s[i] == '%' && s[i+1] == '2' && s[i+2] == 'F') {
s[j] = '/';
i+=2;
}
}
if (qs >= 0) {
        memmove(s+j, s+qs, blen - qs);
        j += blen - qs;
}
buffer_string_set_length(b, j);
return qs;
}
","[14, 15]","        memmove(s+j, s+qs, blen - qs);/~/        j += blen - qs;"
305,"GURL DevToolsWindow::GetDevToolsURL(Profile* profile,
const GURL& base_url,
bool shared_worker_frontend,
bool v8_only_frontend,
const std::string& remote_frontend,
bool can_dock) {
// Compatibility errors are encoded with data urls, pass them
// through with no decoration.
if (base_url.SchemeIs(""data""))
return base_url;

std::string frontend_url(
!remote_frontend.empty() ?
remote_frontend :
base_url.is_empty() ? chrome::kChromeUIDevToolsURL : base_url.spec());
std::string url_string(
frontend_url +
((frontend_url.find(""?"") == std::string::npos) ? ""?"" : ""&""));
if (shared_worker_frontend)
url_string += ""&isSharedWorker=true"";
if (v8_only_frontend)
url_string += ""&v8only=true"";
if (remote_frontend.size()) {
url_string += ""&remoteFrontend=true"";
} else {
url_string += ""&remoteBase="" + DevToolsUI::GetRemoteBaseURL().spec();
}
if (can_dock)
url_string += ""&can_dock=true"";
  return GURL(url_string);
}
",[28],  return GURL(url_string);
306,"krb5_gss_inquire_sec_context_by_oid (OM_uint32 *minor_status,
const gss_ctx_id_t context_handle,
const gss_OID desired_object,
gss_buffer_set_t *data_set)
{
krb5_gss_ctx_id_rec *ctx;
size_t i;

if (minor_status == NULL)
return GSS_S_CALL_INACCESSIBLE_WRITE;

*minor_status = 0;

if (desired_object == GSS_C_NO_OID)
return GSS_S_CALL_INACCESSIBLE_READ;

if (data_set == NULL)
return GSS_S_CALL_INACCESSIBLE_WRITE;

*data_set = GSS_C_NO_BUFFER_SET;

ctx = (krb5_gss_ctx_id_rec *) context_handle;

    if (!ctx->established)
return GSS_S_NO_CONTEXT;

for (i = 0; i < sizeof(krb5_gss_inquire_sec_context_by_oid_ops)/
sizeof(krb5_gss_inquire_sec_context_by_oid_ops[0]); i++) {
if (g_OID_prefix_equal(desired_object, &krb5_gss_inquire_sec_context_by_oid_ops[i].oid)) {
return (*krb5_gss_inquire_sec_context_by_oid_ops[i].func)(minor_status,
context_handle,
desired_object,
data_set);
}
}

*minor_status = EINVAL;

return GSS_S_UNAVAILABLE;
}
",[16],    if (!ctx->established)
307,"IPV6DefragReverseSimpleTest(void)
{
DefragContext *dc = NULL;
Packet *p1 = NULL, *p2 = NULL, *p3 = NULL;
Packet *reassembled = NULL;
int id = 12;
int i;
int ret = 0;

DefragInit();

dc = DefragContextNew();
if (dc == NULL)
goto end;

    p1 = IPV6BuildTestPacket(id, 0, 1, 'A', 8);
if (p1 == NULL)
goto end;
    p2 = IPV6BuildTestPacket(id, 1, 1, 'B', 8);
if (p2 == NULL)
goto end;
    p3 = IPV6BuildTestPacket(id, 2, 0, 'C', 3);
if (p3 == NULL)
goto end;

if (Defrag(NULL, NULL, p3, NULL) != NULL)
goto end;
if (Defrag(NULL, NULL, p2, NULL) != NULL)
goto end;
reassembled = Defrag(NULL, NULL, p1, NULL);
if (reassembled == NULL)
goto end;

/* 40 bytes in we should find 8 bytes of A. */
for (i = 40; i < 40 + 8; i++) {
if (GET_PKT_DATA(reassembled)[i] != 'A')
goto end;
}

/* 28 bytes in we should find 8 bytes of B. */
for (i = 48; i < 48 + 8; i++) {
if (GET_PKT_DATA(reassembled)[i] != 'B')
goto end;
}

/* And 36 bytes in we should find 3 bytes of C. */
for (i = 56; i < 56 + 3; i++) {
if (GET_PKT_DATA(reassembled)[i] != 'C')
goto end;
}

ret = 1;
end:
if (dc != NULL)
DefragContextDestroy(dc);
if (p1 != NULL)
SCFree(p1);
if (p2 != NULL)
SCFree(p2);
if (p3 != NULL)
SCFree(p3);
if (reassembled != NULL)
SCFree(reassembled);

DefragDestroy();
return ret;
}
","[12, 15, 18]","    p1 = IPV6BuildTestPacket(id, 0, 1, 'A', 8);/~/    p2 = IPV6BuildTestPacket(id, 1, 1, 'B', 8);/~/    p3 = IPV6BuildTestPacket(id, 2, 0, 'C', 3);"
308,"GURL DecorateFrontendURL(const GURL& base_url) {
std::string frontend_url = base_url.spec();
std::string url_string(
frontend_url +
((frontend_url.find(""?"") == std::string::npos) ? ""?"" : ""&"") +
""dockSide=undocked""); // TODO(dgozman): remove this support in M38.
base::CommandLine* command_line = base::CommandLine::ForCurrentProcess();
if (command_line->HasSwitch(switches::kEnableDevToolsExperiments))
url_string += ""&experiments=true"";

if (command_line->HasSwitch(switches::kDevToolsFlags)) {
    std::string flags = command_line->GetSwitchValueASCII(
                            switches::kDevToolsFlags);
    flags = net::EscapeQueryParamValue(flags, false);
    url_string += ""&flags="" + flags;
}

#if defined(DEBUG_DEVTOOLS)
url_string += ""&debugFrontend=true"";
#endif  // defined(DEBUG_DEVTOOLS)

return GURL(url_string);
}
","[10, 11, 12, 13]","    std::string flags = command_line->GetSwitchValueASCII(/~/                            switches::kDevToolsFlags);/~/    flags = net::EscapeQueryParamValue(flags, false);/~/    url_string += ""&flags="" + flags;"
309,"static char *rfc2047_decode_word(const char *s, size_t len, enum ContentEncoding enc)
{
const char *it = s;
const char *end = s + len;

if (enc == ENCQUOTEDPRINTABLE)
{
struct Buffer buf = { 0 };
for (; it < end; ++it)
{
if (*it == '_')
{
mutt_buffer_addch(&buf, ' ');
}
else if ((*it == '=') && (!(it[1] & ~127) && hexval(it[1]) != -1) &&
(!(it[2] & ~127) && hexval(it[2]) != -1))
{
mutt_buffer_addch(&buf, (hexval(it[1]) << 4) | hexval(it[2]));
it += 2;
}
else
{
mutt_buffer_addch(&buf, *it);
}
}
mutt_buffer_addch(&buf, '\0');
return buf.data;
}
else if (enc == ENCBASE64)
{
    char *out = mutt_mem_malloc(3 * len / 4 + 1);
    int dlen = mutt_b64_decode(out, it);
if (dlen == -1)
{
FREE(&out);
return NULL;
}
out[dlen] = '\0';
return out;
}

assert(0); /* The enc parameter has an invalid value */
return NULL;
}
","[29, 30]","    char *out = mutt_mem_malloc(3 * len / 4 + 1);/~/    int dlen = mutt_b64_decode(out, it);"
310,"static void php_wddx_process_data(void *user_data, const XML_Char *s, int len)
{
st_entry *ent;
wddx_stack *stack = (wddx_stack *)user_data;
TSRMLS_FETCH();

if (!wddx_stack_is_empty(stack) && !stack->done) {
wddx_stack_top(stack, (void**)&ent);
switch (ent->type) {
case ST_STRING:
if (Z_STRLEN_P(ent->data) == 0) {
STR_FREE(Z_STRVAL_P(ent->data));
Z_STRVAL_P(ent->data) = estrndup(s, len);
Z_STRLEN_P(ent->data) = len;
} else {
Z_STRVAL_P(ent->data) = erealloc(Z_STRVAL_P(ent->data), Z_STRLEN_P(ent->data) + len + 1);
memcpy(Z_STRVAL_P(ent->data) + Z_STRLEN_P(ent->data), s, len);
Z_STRLEN_P(ent->data) += len;
Z_STRVAL_P(ent->data)[Z_STRLEN_P(ent->data)] = '\0';
}
break;

case ST_BINARY:
if (Z_STRLEN_P(ent->data) == 0) {
STR_FREE(Z_STRVAL_P(ent->data));
Z_STRVAL_P(ent->data) = estrndup(s, len + 1);
} else {
Z_STRVAL_P(ent->data) = erealloc(Z_STRVAL_P(ent->data), Z_STRLEN_P(ent->data) + len + 1);
memcpy(Z_STRVAL_P(ent->data) + Z_STRLEN_P(ent->data), s, len);
}
Z_STRLEN_P(ent->data) += len;
Z_STRVAL_P(ent->data)[Z_STRLEN_P(ent->data)] = '\0';
break;

case ST_NUMBER:
Z_TYPE_P(ent->data) = IS_STRING;
Z_STRLEN_P(ent->data) = len;
Z_STRVAL_P(ent->data) = estrndup(s, len);
convert_scalar_to_number(ent->data TSRMLS_CC);
break;

case ST_BOOLEAN:
if(!ent->data) {
break;
}
if (!strcmp(s, ""true"")) {
Z_LVAL_P(ent->data) = 1;
} else if (!strcmp(s, ""false"")) {
Z_LVAL_P(ent->data) = 0;
} else {
zval_ptr_dtor(&ent->data);
if (ent->varname) {
efree(ent->varname);
ent->varname = NULL;
}
ent->data = NULL;
}
break;

case ST_DATETIME: {
char *tmp;

				tmp = emalloc(len + 1);
				memcpy(tmp, s, len);
tmp[len] = '\0';

Z_LVAL_P(ent->data) = php_parse_date(tmp, NULL);
/* date out of range < 1969 or > 2038 */
if (Z_LVAL_P(ent->data) == -1) {
					Z_TYPE_P(ent->data) = IS_STRING;
					Z_STRLEN_P(ent->data) = len;
					Z_STRVAL_P(ent->data) = estrndup(s, len);
}
				efree(tmp);
}
break;

default:
break;
}
}
}
","[11, 12]","				tmp = emalloc(len + 1);/~/				memcpy(tmp, s, len);/~/					Z_TYPE_P(ent->data) = IS_STRING;/~/					Z_STRLEN_P(ent->data) = len;/~/					Z_STRVAL_P(ent->data) = estrndup(s, len);/~/				efree(tmp);"
311,"void HTMLImportsController::Dispose() {
  for (const auto& loader : loaders_)
    loader->Dispose();
  loaders_.clear();

if (root_) {
root_->Dispose();
root_.Clear();
}
}
","[1, 2, 3]",  for (const auto& loader : loaders_)/~/    loader->Dispose();/~/  loaders_.clear();
312,"static v8::Handle<v8::Value> methodWithNonOptionalArgAndOptionalArgCallback(const v8::Arguments& args)
{
INC_STATS(""DOM.TestObj.methodWithNonOptionalArgAndOptionalArg"");
if (args.Length() < 1)
        return V8Proxy::throwNotEnoughArgumentsError();
TestObj* imp = V8TestObj::toNative(args.Holder());
EXCEPTION_BLOCK(int, nonOpt, toInt32(MAYBE_MISSING_PARAMETER(args, 0, DefaultIsUndefined)));
if (args.Length() <= 1) {
imp->methodWithNonOptionalArgAndOptionalArg(nonOpt);
return v8::Handle<v8::Value>();
}
EXCEPTION_BLOCK(int, opt, toInt32(MAYBE_MISSING_PARAMETER(args, 1, DefaultIsUndefined)));
imp->methodWithNonOptionalArgAndOptionalArg(nonOpt, opt);
return v8::Handle<v8::Value>();
}
",[4],        return V8Proxy::throwNotEnoughArgumentsError();
313,"void WallpaperManager::DoSetDefaultWallpaper(
const AccountId& account_id,
MovableOnDestroyCallbackHolder on_finish) {
// There is no visible wallpaper in kiosk mode.
if (user_manager::UserManager::Get()->IsLoggedInAsKioskApp())
return;
wallpaper_cache_.erase(account_id);

WallpaperResolution resolution = GetAppropriateResolution();
const bool use_small = (resolution == WALLPAPER_RESOLUTION_SMALL);

const base::FilePath* file = NULL;

const user_manager::User* user =
user_manager::UserManager::Get()->FindUser(account_id);

if (user_manager::UserManager::Get()->IsLoggedInAsGuest()) {
file =
use_small ? &guest_small_wallpaper_file_ : &guest_large_wallpaper_file_;
} else if (user && user->GetType() == user_manager::USER_TYPE_CHILD) {
file =
use_small ? &child_small_wallpaper_file_ : &child_large_wallpaper_file_;
} else {
file = use_small ? &default_small_wallpaper_file_
: &default_large_wallpaper_file_;
}
wallpaper::WallpaperLayout layout =
use_small ? wallpaper::WALLPAPER_LAYOUT_CENTER
: wallpaper::WALLPAPER_LAYOUT_CENTER_CROPPED;
DCHECK(file);
if (!default_wallpaper_image_.get() ||
default_wallpaper_image_->file_path() != *file) {
default_wallpaper_image_.reset();
if (!file->empty()) {
loaded_wallpapers_for_test_++;
      StartLoadAndSetDefaultWallpaper(*file, layout, std::move(on_finish),
&default_wallpaper_image_);
return;
}

CreateSolidDefaultWallpaper();
}
  // 1x1 wallpaper is actually solid color, so it should be stretched.
  if (default_wallpaper_image_->image().width() == 1 &&
      default_wallpaper_image_->image().height() == 1)
    layout = wallpaper::WALLPAPER_LAYOUT_STRETCH;
  WallpaperInfo info(default_wallpaper_image_->file_path().value(), layout,
                     wallpaper::DEFAULT, base::Time::Now().LocalMidnight());
  SetWallpaper(default_wallpaper_image_->image(), info);
}
","[31, 37]","      StartLoadAndSetDefaultWallpaper(*file, layout, std::move(on_finish),/~/  // 1x1 wallpaper is actually solid color, so it should be stretched./~/  if (default_wallpaper_image_->image().width() == 1 &&/~/      default_wallpaper_image_->image().height() == 1)/~/    layout = wallpaper::WALLPAPER_LAYOUT_STRETCH;/~/  WallpaperInfo info(default_wallpaper_image_->file_path().value(), layout,/~/                     wallpaper::DEFAULT, base::Time::Now().LocalMidnight());/~/  SetWallpaper(default_wallpaper_image_->image(), info);"
314,"on_unregister_handler(TCMUService1HandlerManager1 *interface,
GDBusMethodInvocation *invocation,
gchar *subtype,
gpointer user_data)
{
struct tcmur_handler *handler = find_handler_by_subtype(subtype);
struct dbus_info *info = handler ? handler->opaque : NULL;

if (!handler) {
g_dbus_method_invocation_return_value(invocation,
g_variant_new(""(bs)"", FALSE,
""unknown subtype""));
return TRUE;
}
dbus_unexport_handler(handler);
	tcmur_unregister_handler(handler);
g_bus_unwatch_name(info->watcher_id);
g_free(info);
g_free(handler);
g_dbus_method_invocation_return_value(invocation,
g_variant_new(""(bs)"", TRUE, ""succeeded""));
return TRUE;
}
",[14],	tcmur_unregister_handler(handler);
315,"_exsltDateTruncateDate (exsltDateValPtr dt, exsltDateType type)
{
if (dt == NULL)
return 1;

if ((type & XS_TIME) != XS_TIME) {
dt->value.date.hour = 0;
dt->value.date.min  = 0;
dt->value.date.sec  = 0.0;
}

if ((type & XS_GDAY) != XS_GDAY)
        dt->value.date.day = 0;

if ((type & XS_GMONTH) != XS_GMONTH)
        dt->value.date.mon = 0;

if ((type & XS_GYEAR) != XS_GYEAR)
dt->value.date.year = 0;

dt->type = type;

return 0;
}
","[10, 12]",        dt->value.date.day = 0;/~/        dt->value.date.mon = 0;
316,"cib_remote_dispatch(gpointer user_data)
{
cib_t *cib = user_data;
cib_remote_opaque_t *private = cib->variant_opaque;

xmlNode *msg = NULL;
    const char *type = NULL;

crm_info(""Message on callback channel"");
    msg = crm_recv_remote_msg(private->callback.session, private->callback.encrypted);

    type = crm_element_value(msg, F_TYPE);
    crm_trace(""Activating %s callbacks..."", type);

    if (safe_str_eq(type, T_CIB)) {
        cib_native_callback(cib, msg, 0, 0);

    } else if (safe_str_eq(type, T_CIB_NOTIFY)) {
        g_list_foreach(cib->notify_list, cib_native_notify, msg);

    } else {
        crm_err(""Unknown message type: %s"", type);
    }

    if (msg != NULL) {
free_xml(msg);
        return 0;
}
    return -1;
}
","[5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22]","    const char *type = NULL;/~/    msg = crm_recv_remote_msg(private->callback.session, private->callback.encrypted);/~/    type = crm_element_value(msg, F_TYPE);/~/    crm_trace(""Activating %s callbacks..."", type);/~/    if (safe_str_eq(type, T_CIB)) {/~/        cib_native_callback(cib, msg, 0, 0);/~/    } else if (safe_str_eq(type, T_CIB_NOTIFY)) {/~/        g_list_foreach(cib->notify_list, cib_native_notify, msg);/~/    } else {/~/        crm_err(""Unknown message type: %s"", type);/~/    }/~/    if (msg != NULL) {/~/        return 0;/~/    return -1;"
317,"static void logi_dj_recv_add_djhid_device(struct dj_receiver_dev *djrcv_dev,
struct dj_report *dj_report)
{
/* Called in delayed work context */
struct hid_device *djrcv_hdev = djrcv_dev->hdev;
struct usb_interface *intf = to_usb_interface(djrcv_hdev->dev.parent);
struct usb_device *usbdev = interface_to_usbdev(intf);
struct hid_device *dj_hiddev;
struct dj_device *dj_dev;

/* Device index goes from 1 to 6, we need 3 bytes to store the
* semicolon, the index, and a null terminator
*/
unsigned char tmpstr[3];

if (dj_report->report_params[DEVICE_PAIRED_PARAM_SPFUNCTION] &
SPFUNCTION_DEVICE_LIST_EMPTY) {
dbg_hid(""%s: device list is empty\n"", __func__);
djrcv_dev->querying_devices = false;
return;
}

	if ((dj_report->device_index < DJ_DEVICE_INDEX_MIN) ||
	    (dj_report->device_index > DJ_DEVICE_INDEX_MAX)) {
		dev_err(&djrcv_hdev->dev, ""%s: invalid device index:%d\n"",
			__func__, dj_report->device_index);
		return;
	}
if (djrcv_dev->paired_dj_devices[dj_report->device_index]) {
/* The device is already known. No need to reallocate it. */
dbg_hid(""%s: device is already known\n"", __func__);
return;
}

dj_hiddev = hid_allocate_device();
if (IS_ERR(dj_hiddev)) {
dev_err(&djrcv_hdev->dev, ""%s: hid_allocate_device failed\n"",
__func__);
return;
}

dj_hiddev->ll_driver = &logi_dj_ll_driver;

dj_hiddev->dev.parent = &djrcv_hdev->dev;
dj_hiddev->bus = BUS_USB;
dj_hiddev->vendor = le16_to_cpu(usbdev->descriptor.idVendor);
dj_hiddev->product = le16_to_cpu(usbdev->descriptor.idProduct);
snprintf(dj_hiddev->name, sizeof(dj_hiddev->name),
""Logitech Unifying Device. Wireless PID:%02x%02x"",
dj_report->report_params[DEVICE_PAIRED_PARAM_EQUAD_ID_MSB],
dj_report->report_params[DEVICE_PAIRED_PARAM_EQUAD_ID_LSB]);

usb_make_path(usbdev, dj_hiddev->phys, sizeof(dj_hiddev->phys));
snprintf(tmpstr, sizeof(tmpstr), "":%d"", dj_report->device_index);
strlcat(dj_hiddev->phys, tmpstr, sizeof(dj_hiddev->phys));

dj_dev = kzalloc(sizeof(struct dj_device), GFP_KERNEL);

if (!dj_dev) {
dev_err(&djrcv_hdev->dev, ""%s: failed allocating dj_device\n"",
__func__);
goto dj_device_allocate_fail;
}

dj_dev->reports_supported = get_unaligned_le32(
dj_report->report_params + DEVICE_PAIRED_RF_REPORT_TYPE);
dj_dev->hdev = dj_hiddev;
dj_dev->dj_receiver_dev = djrcv_dev;
dj_dev->device_index = dj_report->device_index;
dj_hiddev->driver_data = dj_dev;

djrcv_dev->paired_dj_devices[dj_report->device_index] = dj_dev;

if (hid_add_device(dj_hiddev)) {
dev_err(&djrcv_hdev->dev, ""%s: failed adding dj_device\n"",
__func__);
goto hid_add_device_fail;
}

return;

hid_add_device_fail:
djrcv_dev->paired_dj_devices[dj_report->device_index] = NULL;
kfree(dj_dev);
dj_device_allocate_fail:
hid_destroy_device(dj_hiddev);
}
","[17, 18, 19, 20, 21, 22, 23, 24, 28, 29, 34, 35]","	if ((dj_report->device_index < DJ_DEVICE_INDEX_MIN) ||/~/	    (dj_report->device_index > DJ_DEVICE_INDEX_MAX)) {/~/		dev_err(&djrcv_hdev->dev, ""%s: invalid device index:%d\n"",/~/			__func__, dj_report->device_index);/~/		return;/~/	}"
318,"gplotAddPlot(GPLOT       *gplot,
NUMA        *nax,
NUMA        *nay,
l_int32      plotstyle,
const char  *plottitle)
{
char       buf[L_BUF_SIZE];
char       emptystring[] = """";
char      *datastr, *title;
l_int32    n, i;
l_float32  valx, valy, startx, delx;
SARRAY    *sa;

PROCNAME(""gplotAddPlot"");

if (!gplot)
return ERROR_INT(""gplot not defined"", procName, 1);
if (!nay)
return ERROR_INT(""nay not defined"", procName, 1);
if (plotstyle < 0 || plotstyle >= NUM_GPLOT_STYLES)
return ERROR_INT(""invalid plotstyle"", procName, 1);

if ((n = numaGetCount(nay)) == 0)
return ERROR_INT(""no points to plot"", procName, 1);
if (nax && (n != numaGetCount(nax)))
return ERROR_INT(""nax and nay sizes differ"", procName, 1);
if (n == 1 && plotstyle == GPLOT_LINES) {
L_INFO(""only 1 pt; changing style to points\n"", procName);
plotstyle = GPLOT_POINTS;
}

/* Save plotstyle and plottitle */
numaGetParameters(nay, &startx, &delx);
numaAddNumber(gplot->plotstyles, plotstyle);
if (plottitle) {
title = stringNew(plottitle);
sarrayAddString(gplot->plottitles, title, L_INSERT);
} else {
sarrayAddString(gplot->plottitles, emptystring, L_COPY);
}

/* Generate and save data filename */
gplot->nplots++;
    snprintf(buf, L_BUF_SIZE, ""%s.data.%d"", gplot->rootname, gplot->nplots);
sarrayAddString(gplot->datanames, buf, L_COPY);

/* Generate data and save as a string */
sa = sarrayCreate(n);
for (i = 0; i < n; i++) {
if (nax)
numaGetFValue(nax, i, &valx);
else
valx = startx + i * delx;
numaGetFValue(nay, i, &valy);
        snprintf(buf, L_BUF_SIZE, ""%f %f\n"", valx, valy);
sarrayAddString(sa, buf, L_COPY);
}
datastr = sarrayToString(sa, 0);
sarrayAddString(gplot->plotdata, datastr, L_INSERT);
sarrayDestroy(&sa);

return 0;
}
",[6],"char       buf[L_BUF_SIZE];/~/    snprintf(buf, L_BUF_SIZE, ""%s.data.%d"", gplot->rootname, gplot->nplots);/~/        snprintf(buf, L_BUF_SIZE, ""%f %f\n"", valx, valy);"
319,"static cJSON *get_object_item(const cJSON * const object, const char * const name, const cJSON_bool case_sensitive)
{
cJSON *current_element = NULL;

if ((object == NULL) || (name == NULL))
{
return NULL;
}

current_element = object->child;
if (case_sensitive)
{
        while ((current_element != NULL) && (strcmp(name, current_element->string) != 0))
{
current_element = current_element->next;
}
}
else
{
while ((current_element != NULL) && (case_insensitive_strcmp((const unsigned char*)name, (const unsigned char*)(current_element->string)) != 0))
{
current_element = current_element->next;
}
}

return current_element;
}
",[10],"        while ((current_element != NULL) && (strcmp(name, current_element->string) != 0))"
